"geoid","income_cat","monthly_mean_income","average_hh_size","monthly_mean_SNAP_benefit","monthly_mean_COVID_benefit","SNAP_eligibility_proportion","households_represented"
51059415100,"Less than $35,000",1737.162989174,2.26114516129032,460.401677419355,596.959919354839,1,62
51059415100,"$35,000 to $49,999",3493.73323698955,2.40290476190476,292.898666666667,387.772904761905,0.413571428571429,21
51059415100,"$50,000 to $59,999",4560.62615343471,2.34608333333333,137.914833333333,245.4041875,0.251520833333333,48
51059415100,"$60,000 to $74,999",5568.64260207274,2.41694,0,0,0,50
51059415100,"$75,000 to $99,999",7270.71834001517,2.56390977443609,0,0,0,106
51059415100,"$100,000 to $124,999",9365.74712608859,2.77153781512605,0,0,0,119
51059415100,"$125,000 to $149,999",11370.0425709932,2.59602941176471,0,0,0,68
51059415100,"$150,000 to $199,999",14468.4625071395,2.75827672955975,0,0,0,159
51059415100,"$200,000 or more",27809.5892957194,2.93741666666667,0,0,0,492
51059415200,"Less than $35,000",1670.65213282411,1.48189163020301,259.736535785525,404.24513626912,1,189
51059415200,"$35,000 to $49,999",3495.54588113751,1.35066480446927,51.5477653631285,78.6259720670391,0.0961620111731843,179
51059415200,"$50,000 to $59,999",4588.54165587457,1.57456914735707,30.3957750660146,65.0911079514382,0.0692489179856565,64
51059415200,"$60,000 to $74,999",5605.1317845771,1.48092156862745,0,0,0,153
51059415200,"$75,000 to $99,999",7249.68053682253,1.46259363867154,0,0,0,336
51059415200,"$100,000 to $124,999",9360.89188869811,1.64819470559652,0,0,0,142
51059415200,"$125,000 to $149,999",11372.9720212262,1.66935761589404,0,0,0,151
51059415200,"$150,000 to $199,999",14387.5262462107,1.8400931372549,0,0,0,204
51059415200,"$200,000 or more",27055.100008935,2.20103878721972,0,0,0,263
51059415300,"Less than $35,000",1706.98332553557,1.93318031600301,375.898675225478,513.195935199383,1,105
51059415300,"$35,000 to $49,999",3493.57594752185,2.10170523221941,241.474447603892,305.521630622875,0.318211462708371,115
51059415300,"$50,000 to $59,999",4586.0621091479,1.76468461538462,97.5556307692308,183.463834615385,0.190311538461538,260
51059415300,"$60,000 to $74,999",5589.91340189604,2.01769230769231,0,0,0,117
51059415300,"$75,000 to $99,999",7225.93763579793,2.05838295994124,0,0,0,290
51059415300,"$100,000 to $124,999",9322.27529530148,2.28272450103571,0,0,0,266
51059415300,"$125,000 to $149,999",11364.607967419,2.2856428577922,0,0,0,110
51059415300,"$150,000 to $199,999",14482.0530082608,2.50355675675676,0,0,0,185
51059415300,"$200,000 or more",27669.1298331614,2.86532824427481,0,0,0,262
51059415401,"Less than $35,000",1752.89701986793,2.69049603174603,578.337077380952,701.228833333333,1,504
51059415401,"$35,000 to $49,999",3488.55441428663,2.98714630227531,456.210311616804,579.955396205476,0.600547562645008,328
51059415401,"$50,000 to $59,999",4565.41605510469,2.28866666666667,152.346833333333,269.521833333333,0.27587962962963,108
51059415401,"$60,000 to $74,999",5568.74108307931,2.52331262669906,0,0,0,184
51059415401,"$75,000 to $99,999",7233.14070385943,2.70483982433065,0,0,0,314
51059415401,"$100,000 to $124,999",9346.05344367512,2.69509836065574,0,0,0,122
51059415401,"$125,000 to $149,999",11368.3379481593,2.44168888888889,0,0,0,45
51059415401,"$150,000 to $199,999",14473.4371318652,2.64484722222222,0,0,0,72
51059415401,"$200,000 or more",27769.7616148932,2.9358021978022,0,0,0,182
51059415402,"Less than $35,000",1709.38434764241,1.93531746031746,379.297468253968,520.209285714286,1,126
51059415402,"$35,000 to $49,999",3483.6992230892,2.0454126984127,205.993428571429,283.633444444444,0.323698412698413,63
51059415402,"$50,000 to $59,999",4574.26971862613,1.99488888888889,93.8471111111111,173.507333333333,0.179333333333333,9
51059415402,"$60,000 to $74,999",5586.18733413755,2.03898245614035,0,0,0,57
51059415402,"$75,000 to $99,999",7263.83604664915,2.14979487179487,0,0,0,78
51059415402,"$100,000 to $124,999",9387.07052900603,2.20718,0,0,0,100
51059415402,"$125,000 to $149,999",11378.8064281113,2.26040404040404,0,0,0,99
51059415402,"$150,000 to $199,999",14410.2261913089,2.36306396953068,0,0,0,162
51059415402,"$200,000 or more",27586.7760886808,2.58754342560513,0,0,0,424
51059415500,"Less than $35,000",1695.25676261328,2.27070867018192,480.869330575708,610.255085717979,1,557
51059415500,"$35,000 to $49,999",3491.32743940344,2.2949973182062,267.261643075972,363.445086862847,0.395387314660776,110
51059415500,"$50,000 to $59,999",4572.73892401939,2.03404545454545,104.315909090909,184.735363636364,0.189136363636364,22
51059415500,"$60,000 to $74,999",5574.34684842122,2.2295655741383,0,0,0,156
51059415500,"$75,000 to $99,999",7256.71845097927,2.3140487804878,0,0,0,123
51059415500,"$100,000 to $124,999",9362.74916870877,2.49486131386861,0,0,0,137
51059415500,"$125,000 to $149,999",11374.0826938515,2.42842934782609,0,0,0,184
51059415500,"$150,000 to $199,999",14452.7971103637,2.60038645418327,0,0,0,251
51059415500,"$200,000 or more",27769.7046326887,2.84627769403705,0,0,0,818
51059415600,"Less than $35,000",1718.20414675454,2.07629411764706,414.647529411765,552.614176470588,1,68
51059415600,"$35,000 to $49,999",3492.64999877185,2.25486736074349,259.831892241633,346.624492676901,0.373154520322334,17
51059415600,"$50,000 to $59,999",4572.47302088072,2.03881818181818,102.941090909091,184.250181818182,0.189090909090909,11
51059415600,"$60,000 to $74,999",5578.3030720111,2.18105894753912,0,0,0,37
51059415600,"$75,000 to $99,999",7264.33340286406,2.2954,0,0,0,70
51059415600,"$100,000 to $124,999",9364.28810209225,2.44653287574718,0,0,0,44
